ratio_abs_R2_R1,torque_liquido_normalizado
0.8,-0.09090909090909087
0.8025,-0.08806818181818184
0.805,-0.08522727272727268
0.8075,-0.08238636363636365
0.81,-0.07954545454545449
0.8125,-0.07670454545454546
0.8150000000000001,-0.0738636363636363
0.8175,-0.07102272727272728
0.8200000000000001,-0.06818181818181812
0.8225,-0.06534090909090909
0.8250000000000001,-0.06249999999999993
0.8275,-0.0596590909090909
0.8300000000000001,-0.05681818181818174
0.8325,-0.053977272727272714
0.8350000000000001,-0.051136363636363556
0.8375,-0.04829545454545452
0.8400000000000001,-0.045454545454545366
0.8425,-0.04261363636363634
0.8450000000000001,-0.03977272727272718
0.8475,-0.03693181818181815
0.8500000000000001,-0.034090909090909
0.8525,-0.031249999999999965
0.855,-0.028409090909090936
0.8575,-0.025568181818181778
0.86,-0.02272727272727275
0.8625,-0.01988636363636359
0.865,-0.01704545454545456
0.8675,-0.014204545454545404
0.87,-0.011363636363636374
0.8725,-0.008522727272727217
0.875,-0.005681818181818187
0.8775000000000001,-0.0028409090909090303
0.88,0.0
0.8825000000000001,0.0028409090909091565
0.885,0.005681818181818187
0.8875000000000001,0.008522727272727343
0.89,0.011363636363636374
0.8925000000000001,0.01420454545454553
0.895,0.01704545454545456
0.8975000000000001,0.019886363636363716
0.9,0.02272727272727275
0.9025000000000001,0.025568181818181903
0.905,0.028409090909090936
0.9075,0.031249999999999965
0.91,0.03409090909090912
0.9125000000000001,0.03693181818181828
0.915,0.03977272727272731
0.9175,0.04261363636363634
0.92,0.0454545454545455
0.9225,0.04829545454545452
0.925,0.05113636363636368
0.9275,0.053977272727272714
0.93,0.05681818181818187
0.9325,0.0596590909090909
0.935,0.06250000000000006
0.9375,0.06534090909090909
0.9400000000000001,0.06818181818181825
0.9425,0.07102272727272728
0.9450000000000001,0.07386363636363642
0.9475,0.07670454545454546
0.95,0.07954545454545449
0.9525,0.08238636363636365
0.9550000000000001,0.0852272727272728
0.9575,0.08806818181818184
0.96,0.09090909090909087
0.9625,0.09375000000000001
0.9650000000000001,0.09659090909090917
0.9675,0.0994318181818182
0.97,0.10227272727272724
0.9725,0.1051136363636364
0.975,0.10795454545454543
0.9775,0.11079545454545459
0.98,0.1136363636363636
0.9825,0.11647727272727276
0.985,0.1193181818181818
0.9875,0.12215909090909095
0.99,0.12499999999999999
0.9925,0.12784090909090914
0.995,0.13068181818181818
0.9975,0.13352272727272732
1.0,0.13636363636363635
